SLURM NODE: kn055
[I 2026-02-23 04:49:56,738] A new study created in RDB with name: R8-Sliding_windows
[I 2026-02-25 04:58:20,291] Trial 43 finished with value: 0.9474396930659326 and parameters: {'batch_size': 16, 'window_size': 2, 'attention_heads': 2, 'hidden_dimension': 128, 'number_of_hidden_layers': 1, 'dropout_rate': 0.4, 'learning_rate': 1e-05, 'weight_decay': 1e-06}. Best is trial 35 with value: 0.9619156391880381.
[I 2026-02-25 05:37:48,081] Trial 44 finished with value: 0.9367738116795291 and parameters: {'batch_size': 128, 'window_size': 4, 'attention_heads': 6, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'weight_decay': 0.0001}. Best is trial 35 with value: 0.9619156391880381.
[I 2026-02-25 06:32:26,700] Trial 45 finished with value: 0.94874802950959 and parameters: {'batch_size': 16, 'window_size': 2, 'attention_heads': 6, 'hidden_dimension': 64, 'number_of_hidden_layers': 1, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'weight_decay': 0.0001}. Best is trial 35 with value: 0.9619156391880381.
[I 2026-02-25 07:23:57,435] Trial 46 finished with value: 0.9539079951131493 and parameters: {'batch_size': 32, 'window_size': 5, 'attention_heads': 6, 'hidden_dimension': 64, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4, 'learning_rate': 0.001, 'weight_decay': 0.0001}. Best is trial 35 with value: 0.9619156391880381.
[I 2026-02-25 08:53:48,054] Trial 47 finished with value: 0.9507739345141618 and parameters: {'batch_size': 16, 'window_size': 5, 'attention_heads': 2, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.1, 'learning_rate': 1e-05, 'weight_decay': 0.001}. Best is trial 35 with value: 0.9619156391880381.
[I 2026-02-25 09:54:57,815] Trial 48 finished with value: 0.9517967712119619 and parameters: {'batch_size': 32, 'window_size': 5, 'attention_heads': 6, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4, 'learning_rate': 0.0001, 'weight_decay': 0.0001}. Best is trial 35 with value: 0.9619156391880381.
[I 2026-02-25 10:37:04,225] Trial 49 finished with value: 0.9618233441688944 and parameters: {'batch_size': 64, 'window_size': 3, 'attention_heads': 2, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3, 'learning_rate': 0.0003, 'weight_decay': 1e-06}. Best is trial 35 with value: 0.9619156391880381.
[UPDATE] 50 completed trials using a random sampler. Switching from random to TPE sampling.
[I 2026-02-25 11:35:09,750] Trial 50 finished with value: 0.9501888362503284 and parameters: {'batch_size': 128, 'window_size': 5, 'attention_heads': 8, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.2, 'learning_rate': 1e-05, 'weight_decay': 0.001}. Best is trial 35 with value: 0.9619156391880381.
[I 2026-02-25 11:35:10,297] Trial 51 pruned. Duplicate hyper-parameters, same as those used in trial 35: {'batch_size': 128, 'window_size': 3, 'attention_heads': 1, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.1, 'learning_rate': 0.0003, 'weight_decay': 0.0001}.
[I 2026-02-25 11:35:10,824] Trial 52 pruned. Duplicate hyper-parameters, same as those used in trial 2: {'batch_size': 16, 'window_size': 5, 'attention_heads': 6, 'hidden_dimension': 64, 'number_of_hidden_layers': 2, 'dropout_rate': 0.1, 'learning_rate': 0.001, 'weight_decay': 0.001}.
