dataset,split,index,node_threshold,edge_threshold,document_length,unique_words,token_count,node_count,node_embedding_dimension,edge_count,edge_embedding_dimension
IMDb-1k,validation,89,0.8,0.95,941,459,1254,367,768,2658,2
IMDb-1k,validation,8,0.8,0.95,905,373,1229,382,768,2639,2
IMDb-1k,validation,157,0.8,0.95,924,459,1219,397,768,2769,2
IMDb-1k,validation,113,0.8,0.95,946,514,1253,401,768,2901,2
IMDb-1k,validation,13,0.8,0.95,904,410,1198,384,768,2620,2
IMDb-1k,validation,59,0.8,0.95,962,454,1257,404,768,2941,2
IMDb-1k,validation,140,0.8,0.95,735,384,1014,343,768,2215,2
IMDb-1k,validation,3,0.8,0.95,957,445,1200,413,768,2902,2
IMDb-1k,validation,17,0.8,0.95,861,381,1088,369,768,2490,2
IMDb-1k,validation,72,0.8,0.95,976,486,1334,468,768,3251,2
IMDb-1k,validation,143,0.8,0.95,774,323,990,360,768,2440,2
IMDb-1k,validation,136,0.8,0.95,940,475,1284,434,768,3022,2
IMDb-1k,validation,150,0.8,0.95,768,384,967,294,768,1992,2
IMDb-1k,validation,63,0.8,0.95,949,447,1334,424,768,2865,2
IMDb-1k,validation,54,0.8,0.95,968,369,1240,368,768,2637,2
IMDb-1k,validation,107,0.8,0.95,798,414,1080,325,768,2219,2
IMDb-1k,validation,50,0.8,0.95,733,327,990,313,768,2005,2
IMDb-1k,validation,162,0.8,0.95,1023,290,1382,485,768,3320,2
IMDb-1k,validation,58,0.8,0.95,746,406,998,312,768,2111,2
IMDb-1k,validation,48,0.8,0.95,934,515,1223,390,768,2805,2
IMDb-1k,validation,88,0.8,0.95,918,411,1156,390,768,2681,2
IMDb-1k,validation,21,0.8,0.95,760,356,942,324,768,2255,2
IMDb-1k,validation,57,0.8,0.95,894,433,1160,358,768,2465,2
IMDb-1k,validation,159,0.8,0.95,884,404,1129,364,768,2454,2
IMDb-1k,validation,129,0.8,0.95,746,371,923,289,768,1983,2
IMDb-1k,validation,37,0.8,0.95,778,363,1037,298,768,2003,2
IMDb-1k,validation,155,0.8,0.95,747,418,1016,313,768,1992,2
IMDb-1k,validation,1,0.8,0.95,922,456,1260,382,768,2713,2
IMDb-1k,validation,52,0.8,0.95,948,446,1256,372,768,2676,2
IMDb-1k,validation,149,0.8,0.95,759,394,1023,303,768,2052,2
IMDb-1k,test,25,0.8,0.95,806,460,1055,351,768,2426,2
IMDb-1k,test,109,0.8,0.95,865,429,1039,351,768,2450,2
IMDb-1k,test,76,0.8,0.95,961,447,1307,380,768,2580,2
IMDb-1k,test,196,0.8,0.95,879,485,1200,372,768,2615,2
IMDb-1k,test,57,0.8,0.95,876,384,1123,344,768,2367,2
IMDb-1k,test,255,0.8,0.95,896,421,1152,332,768,2417,2
IMDb-1k,test,182,0.8,0.95,885,352,1090,373,768,2541,2
IMDb-1k,test,181,0.8,0.95,771,371,1012,304,768,2036,2
IMDb-1k,test,274,0.8,0.95,949,466,1324,444,768,3027,2
IMDb-1k,test,198,0.8,0.95,908,405,1223,378,768,2627,2
