dataset,split,index,node_threshold,edge_threshold,document_length,unique_words,token_count,node_count,node_embedding_dimension,edge_count,edge_embedding_dimension
R8,validation,741,0.6,0.6,47,31,64,26,768,312,8
R8,validation,514,0.6,0.6,187,119,255,115,768,6117,8
R8,validation,365,0.6,0.6,88,51,170,69,768,2355,8
R8,test,1593,0.6,0.6,86,56,116,53,768,1182,8
R8,test,526,0.6,0.6,38,21,84,35,768,558,8
R8,test,393,0.6,0.6,329,168,412,204,768,19207,8
R8,test,1403,0.6,0.6,79,55,116,52,768,1268,8
R8,test,433,0.6,0.6,76,57,89,52,768,1090,8
Ohsumed,train,655,0.6,0.7,306,155,480,273,768,25487,23
Ohsumed,train,862,0.6,0.7,175,83,276,151,768,8246,23
Ohsumed,train,365,0.6,0.7,176,106,220,135,768,6353,23
Ohsumed,train,2423,0.6,0.7,174,90,264,174,768,10194,23
Ohsumed,train,1514,0.6,0.7,270,138,392,228,768,19523,23
Ohsumed,validation,361,0.6,0.7,160,90,253,142,768,6643,23
Ohsumed,validation,158,0.6,0.7,68,54,105,70,768,1522,23
Ohsumed,validation,481,0.6,0.7,185,95,293,187,768,12678,23
Ohsumed,validation,639,0.6,0.7,202,105,283,187,768,11978,23
Ohsumed,validation,275,0.6,0.7,160,98,290,171,768,10670,23
Ohsumed,test,4004,0.6,0.7,237,126,354,223,768,17233,23
Ohsumed,test,149,0.6,0.7,198,103,334,216,768,15737,23
Ohsumed,test,2025,0.6,0.7,136,80,188,113,768,4483,23
Ohsumed,test,2505,0.6,0.7,161,89,282,169,768,10118,23
Ohsumed,test,3203,0.6,0.7,208,109,310,191,768,12440,23
R8,train,3809,0.6,0.7,18,13,37,16,768,115,8
R8,train,149,0.6,0.7,38,32,51,22,768,191,8
R8,train,3123,0.6,0.7,37,21,74,34,768,402,8
R8,train,3367,0.6,0.7,102,39,136,68,768,1531,8
R8,train,3196,0.6,0.7,95,66,135,65,768,1493,8
R8,validation,628,0.6,0.7,57,41,82,42,768,575,8
R8,validation,631,0.6,0.7,39,35,58,29,768,298,8
R8,validation,741,0.6,0.7,47,31,64,26,768,258,8
R8,validation,514,0.6,0.7,187,119,255,115,768,4709,8
R8,validation,365,0.6,0.7,88,51,170,69,768,1855,8
R8,test,1593,0.6,0.7,86,56,116,53,768,961,8
R8,test,526,0.6,0.7,38,21,84,35,768,475,8
R8,test,393,0.6,0.7,329,168,412,204,768,14911,8
R8,test,1403,0.6,0.7,79,55,116,52,768,992,8
R8,test,433,0.6,0.7,76,57,89,52,768,842,8
Ohsumed,train,655,0.6,0.8,306,155,480,273,768,17900,23
Ohsumed,train,862,0.6,0.8,175,83,276,151,768,5866,23
Ohsumed,train,365,0.6,0.8,176,106,220,135,768,4497,23
Ohsumed,train,2423,0.6,0.8,174,90,264,174,768,7056,23
Ohsumed,train,1514,0.6,0.8,270,138,392,228,768,13441,23
Ohsumed,validation,361,0.6,0.8,160,90,253,142,768,4678,23
Ohsumed,validation,158,0.6,0.8,68,54,105,70,768,1055,23
Ohsumed,validation,481,0.6,0.8,185,95,293,187,768,8883,23
Ohsumed,validation,639,0.6,0.8,202,105,283,187,768,8077,23
Ohsumed,validation,275,0.6,0.8,160,98,290,171,768,7338,23
Ohsumed,test,4004,0.6,0.8,237,126,354,223,768,12087,23
Ohsumed,test,149,0.6,0.8,198,103,334,216,768,10861,23
Ohsumed,test,2025,0.6,0.8,136,80,188,113,768,3189,23
Ohsumed,test,2505,0.6,0.8,161,89,282,169,768,7099,23
Ohsumed,test,3203,0.6,0.8,208,109,310,191,768,8555,23
R8,train,3809,0.6,0.8,18,13,37,16,768,96,8
R8,train,149,0.6,0.8,38,32,51,22,768,155,8
R8,train,3123,0.6,0.8,37,21,74,34,768,310,8
R8,train,3367,0.6,0.8,102,39,136,68,768,1088,8
R8,train,3196,0.6,0.8,95,66,135,65,768,1081,8
R8,validation,628,0.6,0.8,57,41,82,42,768,419,8
R8,validation,631,0.6,0.8,39,35,58,29,768,218,8
R8,validation,741,0.6,0.8,47,31,64,26,768,205,8
R8,validation,514,0.6,0.8,187,119,255,115,768,3236,8
R8,validation,365,0.6,0.8,88,51,170,69,768,1330,8
R8,test,1593,0.6,0.8,86,56,116,53,768,685,8
R8,test,526,0.6,0.8,38,21,84,35,768,364,8
R8,test,393,0.6,0.8,329,168,412,204,768,10275,8
R8,test,1403,0.6,0.8,79,55,116,52,768,717,8
R8,test,433,0.6,0.8,76,57,89,52,768,593,8
Ohsumed,train,655,0.6,0.9,306,155,480,273,768,9913,23
Ohsumed,train,862,0.6,0.9,175,83,276,151,768,3174,23
Ohsumed,train,365,0.6,0.9,176,106,220,135,768,2506,23
Ohsumed,train,2423,0.6,0.9,174,90,264,174,768,3876,23
Ohsumed,train,1514,0.6,0.9,270,138,392,228,768,6987,23
Ohsumed,validation,361,0.6,0.9,160,90,253,142,768,2636,23
Ohsumed,validation,158,0.6,0.9,68,54,105,70,768,587,23
Ohsumed,validation,481,0.6,0.9,185,95,293,187,768,4491,23
Ohsumed,validation,639,0.6,0.9,202,105,283,187,768,3985,23
Ohsumed,validation,275,0.6,0.9,160,98,290,171,768,3737,23
Ohsumed,test,4004,0.6,0.9,237,126,354,223,768,6412,23
Ohsumed,test,149,0.6,0.9,198,103,334,216,768,5615,23
Ohsumed,test,2025,0.6,0.9,136,80,188,113,768,1806,23
Ohsumed,test,2505,0.6,0.9,161,89,282,169,768,3788,23
Ohsumed,test,3203,0.6,0.9,208,109,310,191,768,4510,23
R8,train,3809,0.6,0.9,18,13,37,16,768,70,8
R8,train,149,0.6,0.9,38,32,51,22,768,108,8
R8,train,3123,0.6,0.9,37,21,74,34,768,202,8
R8,train,3367,0.6,0.9,102,39,136,68,768,603,8
R8,train,3196,0.6,0.9,95,66,135,65,768,629,8
R8,validation,628,0.6,0.9,57,41,82,42,768,278,8
R8,validation,631,0.6,0.9,39,35,58,29,768,143,8
R8,validation,741,0.6,0.9,47,31,64,26,768,132,8
R8,validation,514,0.6,0.9,187,119,255,115,768,1735,8
R8,validation,365,0.6,0.9,88,51,170,69,768,823,8
R8,test,1593,0.6,0.9,86,56,116,53,768,397,8
R8,test,526,0.6,0.9,38,21,84,35,768,235,8
R8,test,393,0.6,0.9,329,168,412,204,768,5482,8
R8,test,1403,0.6,0.9,79,55,116,52,768,426,8
R8,test,433,0.6,0.9,76,57,89,52,768,353,8
Ohsumed,train,655,0.6,0.95,306,155,480,273,768,5648,23
Ohsumed,train,862,0.6,0.95,175,83,276,151,768,1877,23
Ohsumed,train,365,0.6,0.95,176,106,220,135,768,1421,23
Ohsumed,train,2423,0.6,0.95,174,90,264,174,768,2179,23
Ohsumed,train,1514,0.6,0.95,270,138,392,228,768,3738,23
Ohsumed,validation,361,0.6,0.95,160,90,253,142,768,1572,23
Ohsumed,validation,158,0.6,0.95,68,54,105,70,768,365,23
Ohsumed,validation,481,0.6,0.95,185,95,293,187,768,2192,23
Ohsumed,validation,639,0.6,0.95,202,105,283,187,768,2179,23
Ohsumed,validation,275,0.6,0.95,160,98,290,171,768,1958,23
Ohsumed,test,4004,0.6,0.95,237,126,354,223,768,3340,23
Ohsumed,test,149,0.6,0.95,198,103,334,216,768,3013,23
Ohsumed,test,2025,0.6,0.95,136,80,188,113,768,1056,23
Ohsumed,test,2505,0.6,0.95,161,89,282,169,768,1993,23
Ohsumed,test,3203,0.6,0.95,208,109,310,191,768,2498,23
