SLURM NODE: kn068
[I 2026-02-05 10:32:40,584] A new study created in RDB with name: IMDb-Fine-tuning
[I 2026-02-05 21:54:38,133] Trial 42 finished with value: 0.9152 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.1, 'learning_rate': 5e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.05, 'gradient_clipping': 2.0}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 22:08:38,899] Trial 43 finished with value: 0.9162 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.1, 'learning_rate': 2e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.0, 'gradient_clipping': 1.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 22:27:04,127] Trial 44 finished with value: 0.9286 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.1, 'learning_rate': 3e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 0.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 22:45:50,270] Trial 45 finished with value: 0.919 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.2, 'learning_rate': 5e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.15, 'gradient_clipping': 2.0}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 23:00:11,568] Trial 46 finished with value: 0.9276 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.4, 'learning_rate': 1e-05, 'weight_decay': 0.001, 'label_smoothing': 0.15, 'gradient_clipping': 0.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 23:18:36,067] Trial 47 finished with value: 0.9286 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.2, 'learning_rate': 3e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 0.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 23:33:13,237] Trial 48 finished with value: 0.927 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.2, 'learning_rate': 2e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.15, 'gradient_clipping': 1.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 23:46:57,581] Trial 49 finished with value: 0.9248 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.2, 'learning_rate': 5e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.05, 'gradient_clipping': 1.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-06 00:07:47,115] Trial 50 finished with value: 0.9218 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.1, 'learning_rate': 5e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.15, 'gradient_clipping': 0.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-06 00:21:49,159] Trial 51 finished with value: 0.9266 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.3, 'learning_rate': 3e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.1, 'gradient_clipping': 2.0}. Best is trial 1 with value: 0.9308.
[I 2026-02-06 00:36:07,518] Trial 52 finished with value: 0.9158 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.2, 'learning_rate': 5e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.0, 'gradient_clipping': 2.0}. Best is trial 1 with value: 0.9308.
[I 2026-02-06 00:50:07,581] Trial 53 finished with value: 0.9202 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.3, 'learning_rate': 1e-05, 'weight_decay': 0.001, 'label_smoothing': 0.0, 'gradient_clipping': 1.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-06 01:04:44,348] Trial 54 finished with value: 0.921 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.3, 'learning_rate': 3e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 1.0}. Best is trial 1 with value: 0.9308.
[I 2026-02-06 01:23:29,599] Trial 55 finished with value: 0.919 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.4, 'learning_rate': 5e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.15, 'gradient_clipping': 2.0}. Best is trial 1 with value: 0.9308.
[I 2026-02-06 01:37:14,411] Trial 56 finished with value: 0.9248 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.3, 'learning_rate': 2e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.1, 'gradient_clipping': 2.0}. Best is trial 1 with value: 0.9308.
[I 2026-02-06 01:58:00,397] Trial 57 finished with value: 0.9122 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'label_smoothing': 0.1, 'gradient_clipping': 1.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-06 02:12:00,479] Trial 58 finished with value: 0.9166 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.2, 'learning_rate': 2e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.05, 'gradient_clipping': 1.0}. Best is trial 1 with value: 0.9308.
[I 2026-02-06 02:26:18,169] Trial 59 finished with value: 0.918 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.2, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'label_smoothing': 0.15, 'gradient_clipping': 2.0}. Best is trial 1 with value: 0.9308.
[I 2026-02-06 02:40:55,144] Trial 60 finished with value: 0.9008 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.3, 'learning_rate': 0.0001, 'weight_decay': 0.001, 'label_smoothing': 0.1, 'gradient_clipping': 0.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-06 02:54:38,580] Trial 61 finished with value: 0.9176 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.4, 'learning_rate': 0.0001, 'weight_decay': 0.0001, 'label_smoothing': 0.1, 'gradient_clipping': 0.5}. Best is trial 1 with value: 0.9308.
